"Spring Field School Haridwar,3530396"
"Angel’s Academy Haridwar,3530177"
"Maa Saraswati Public School Haridwar,3530287"
"D.A.V. public School Haridwar, 3530049"
"D.P.S. Public School Haridwar, 3530008"
"St.Mary’s Sr. Sec. School Haridwar, 3530029"
"Olympus School Haridwar, 1130973"
"BML Munjal Haridwar, 3530431"
"Olympus Public School Dehradun, 3530256"
"SGRR Public School Dehradun, 3530061"
"Wisdom Global School Haridwar, 35300412"
"Children’s Modern Academy Dehradun, 3530104"
"DPS Delhi, 2730017"
"Amity International School Delhi,2730586"
"Doon Valley Public School Dehradun, 3530044"